usdot_number,prefix,docket_number,legal_name,dba_name,city,state
3084456,MC,68521,4TH DIMENSION LOGISTICS LLC,,LAFAYETTE,CO
2481252,MC,858698,4TH GENERATION TRANSPORTATION AND REPAIR INC,,WIGGINS,CO
3343575,MC,1188543,4TH T TRUCKING LLC,,LA SALLE,CO
759151,MC,478259,4W'S MOVING LLC,,PEYTON,CO
1844315,MC,862058,"4X INDUSTRIAL, LLC",,GILL,CO
2801445,MC,1435240,5 D LLC,,LA JUNTA,CO
3792016,MC,1361488,5 H TRUCKING LLC,,GREELEY,CO
625078,MC,298437,5 HILLS CARRIERS INC.,,LONGMONT,CO
2345289,MC,799486,5 LOGISTICS LLC,5 LOGISTICS,DENVER,CO
2345289,FF,11389,5 LOGISTICS LLC,5 LOGISTICS,DENVER,CO
3296946,FF,34767,5 LOGISTICS LTD,,DENVER,CO
3296946,MC,1064433,5 LOGISTICS LTD,,DENVER,CO
,MC,1473796,5 R HAUL OFF LLC,,CORTEZ,CO
3898507,MC,1435443,5 SEVEN ENTERPRISES LTD.,,DENVER,CO
4148021,FF,62037,5 STAR EXPRESS LLC,,AURORA,CO
4148021,MC,1591795,5 STAR EXPRESS LLC,,AURORA,CO
,MC,1481604,5 STAR QUALITY HVAC,5 STAR SERVICES,AURORA,CO
3967596,MC,1481613,5 STAR QUALITY HVAC LLC,5 STAR SERVICES,AURORA,CO
3772151,MC,1347038,5 STAR TRANSPORT LLC,,DENVER,CO
3688949,MC,1286179,5 STAR TRANSPORTATION LLC,,BYERS,CO
3630379,MC,1277378,5 TRUCKING LLC,,LAKEWOOD,CO
3213525,MC,1004060,5'S TRUCKING LLC,,DENVER,CO
701133,MC,324498,5-L  CORPORATION,,BRIGHTON,CO
2901116,MC,975907,5-LION INC,,THORNTON,CO
1358905,MC,730146,5-PACK ENTERPRISE LLC,,GOLDEN,CO
3826328OOS,MC,1386411,5061 LOGISTICS LLC,,AURORA,CO
236652,MC,991855,50TH STREET PARTNERS LLC,STUDENT MOVERS,AURORA,CO
3031899,MC,54461,51 FIFTY SOLUTIONS INC,,BRIGGSDALE,CO
3329147,MC,1060585,5150 HAULING,,LOVELAND,CO
,FF,34509,5150 HAULING,,LOVELAND,CO
3617830,MC,1234671,5150 LOGISTICS LLC,,GREELEY,CO
3661323,MC,1265958,5150 TRANSPORT INC,,WRAY,CO
1869648,MC,683756,5150 TRANSPORT LLC,,FOUNTAIN,CO
2790987,MC,930945,519 ENTERPRISES LLC,,AUSTIN,CO
3571506,MC,1203220,5280 ALL STAR TRANSPORTATION LLC,5280 ALL STARS,DENVER,CO
3101838,MC,77817,5280 AUTO TRANSPORT,,GOLDEN,CO
2439395,MC,841629,5280 DISTRIBUTION LTD LIABILTY CO,,DENVER,CO
2921018,MC,985081,5280 DISTRIBUTION LTD LLC,,WHEAT RIDGE,CO
3667359,MC,1270316,5280 GUARANTEED SERVICES LLC,,DENVER,CO
3934655,MC,1459424,5280 HAULING LLC,,DENVER,CO
2996353,MC,21703,5280 HOT SHOTS & TRANSPORTATION,5280 HOT SHOTS & TRANSPORTATION,DENVER,CO
3748883,FF,58857,5280 LOCKSMITH LLC,,AURORA,CO
3748883,MC,1642260,5280 LOCKSMITH LLC,,AURORA,CO
3550386,MC,1188834,5280 LOGISTICS LLC,,DENVER,CO
3075485,MC,92511,5280 LOGISTICS LTD,,PARKER,CO
2880770,MC,136290,5280 S SERVICES LLC,,80645 LASALLE,CO
,FF,26629,5280 SWEEPING & CONSTRUCTION SUPPORT SERVICES LLC,5280 SWEEPING,DENVER,CO
2003267,MC,717661,5280 TOWING LLC,,80602 BRIGHTON,CO
2400376,MC,825525,5280 TRANSPORT LLC,,MORRISON,CO
3178275,MC,124097,5280 TRANSPORTATION,5280 FREIGHT,JOHNSTOWN,CO
3300027,MC,1046535,5280 TRANSPORTATION AND LOGISTICS LLC,UNPLUGGED BACKCOUNTRY ADVENTURES,DENVER,CO
2540692,MC,883923,5280 TRANSPORTATION LLC,,LITTLETON,CO
,FF,30569,5280 TRANSPORTATION LLC,,LITTLETON,CO
3235241,MC,1015114,5280 TRANSPORTATION LLC,,LITTLETON,CO
,MC,1088531,5280 TRANSPORTS LLC,5280 TRANSPORTS,DENVER,CO
3088119OOS,MC,70401,5280 TRUCKING LLLP,5280 TRUCKING,DENVER,CO
,FF,46889,5280 TUNING AND LOGISTICS LLC,5280 LOGISTICS,ELIZABETH,CO
3589380,MC,1215215,5280 TUNING AND LOGISTICS LLC,5280 LOGISTICS,ELIZABETH,CO
2931451,MC,67472,5280 VIP XPRESS AND/OR I-70 XPRESS,"5280 VIP TRANSPORTION, VIP XPRESS",JOHNSTOWN,CO
1733357,MC,635002,53 INC,MILE HIGH PLAY SYSTEMS,FT COLLINS,CO
3138720,MC,97729,54 TRUCKING LLC,,LAKEWOOD,CO
,MC,980418,5C CATTLE CO LLC,,YELLOW JACKET,CO
3992209,MC,1497983,5IVESTX TRANSPORT & LOGISTICS LLC,,AURORA,CO
3844382,MC,1399167,5M TOWING LLC,,THORNTON,CO
3809937,MC,1416444,5M-TURNER LTD,,AURORA,CO
,FF,39800,5R FARM & TRUCKING LLC,,DOVE CREEK,CO
3452997,MC,1124716,5R FARM & TRUCKING LLC,,CAHONE,CO
3112361,MC,83361,5S EXPRESS LLC,,MERINO,CO
