usdot_number,prefix,docket_number,legal_name,dba_name,city,state
3478895,MC,1282586,ACTIVE TRANSPORTATION AND DELIVERIES LTD,,DENVER GREENWOOD VILLAGE,CO
3988866,MC,1495785,ACTIVE TRUCKING COMPANY LLC,,AURORA,CO
3944035,MC,1465685,ACTIVE XPRESS LOGISTICS LLC,,DENVER,CO
4236082,MC,1639636,AD ASTRA FREIGHT AND LOGISTICS LLC,,DENVER,CO
4041752,MC,1529598,AD LLC,ABEL,AURORA,CO
3929666OOS,MC,1456074,AD TRANSPORTATION INC,,GREENWOOD VLG,CO
,MC,806880,AD TRUCKING LLC,AD TRUCKING,GREELEY,CO
2342072,MC,1120664,AD TRUCKING LLC,AD TRUCKING,GREELEY,CO
4037270,MC,1526850,AD UNITED LOGISTICS LLC,,MONUMENT,CO
2937050,MC,992608,ADA DELIVERY SERVICES LLC,,ENGLEWOOD,CO
3635331,MC,1247077,ADA FAITH TRUCKING COMPANY LLC,ADA FAITH TRUCKING SERVICES,ENGLEWOOD,CO
4211439,MC,1626360,ADA LOGISTICS,ADA TRANSPORTATION,PARKER,CO
,MC,1132656,ADAIR CONSTRUCTION LLC,ADAIR CONSTRUCTION LLC,CANON CITY,CO
3533930,MC,1177470,ADAL LLC,,DENVER,CO
,FF,35785,ADAM BATES LOGISTICS,ADAM BATES LOGISTICS,LITTLETON,CO
3359914,MC,1075779,ADAM BATES LOGISTICS LLC,ABL,LITTLETON,CO
2420375,MC,833620,ADAM CHISZAR,INTRASTATE TRANSPORTATION,LOUISVILLE,CO
,FF,11697,ADAM CHISZAR,INTRASTATE TRANSPORTATION,LOUISVILLE,CO
3463841,MC,1131535,ADAM CLARK,CLARK TRUCKING,AKRON,CO
3149625,MC,104083,ADAM GATES,GATES TRUCKING,YUMA,CO
2832602,MC,1137192,ADAM L'S TRUCKING LLC,,FORT LUPTON,CO
1679300,MC,617035,ADAM LEE TRUJILLO,PUZZLED TRANSPORT SERVICES,GYPSUM,CO
3028071,MC,37945,ADAM MOVING,,DENVER,CO
3902846,MC,1438340,ADAM TOWING LLC,ADAM TOWING,FORT MORGAN,CO
2914205,MC,982310,"ADAM TRUCKING, LLC.",,DENVER,CO
,MC,203824,ADAM'S POLISHES,,THORNTON,CO
